customer_id,signup_date,region,currency_preference,segment,acquisition_channel,age_band,country,country_latitude,country_longitude
CUST0000001,28-07-2025 15:21,EU,GBP,Consumer,Affiliate,55+,United Kingdom,55.3781,-3.436
CUST0000002,01-09-2024 00:03,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000003,03-06-2024 02:38,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000004,18-02-2025 05:22,APAC,AUD,Consumer,Email,55+,Australia,-25.2744,133.7751
CUST0000005,05-11-2024 10:37,,USD,Consumer,Paid Search,35-44,United States,39.8283,-98.5795
CUST0000006,11-07-2025 04:23,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000007,31-10-2024 10:04,EU,EUR,Consumer,Email,35-44,Netherlands,52.1326,5.2913
CUST0000008,04-12-2024 02:05,APAC,AUD,Consumer,Paid Search,18-24,Australia,-25.2744,133.7751
CUST0000009,04-10-2024 13:30,,USD,Consumer,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000010,01-01-2025 02:48,EU,EUR,SMB,Organic,25-34,Spain,40.4637,-3.7492
CUST0000011,21-04-2024 10:35,,USD,Consumer,Paid Search,45-54,United States,39.8283,-98.5795
CUST0000012,02-09-2024 22:41,EU,GBP,Consumer,Paid Search,45-54,United Kingdom,55.3781,-3.436
CUST0000013,25-05-2025 04:48,,USD,Consumer,Social,35-44,United States,39.8283,-98.5795
CUST0000014,03-09-2024 12:54,,USD,SOHO,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000015,19-04-2025 01:34,APAC,AUD,Consumer,Retail Media,25-34,Australia,-25.2744,133.7751
CUST0000016,27-02-2024 15:45,,USD,SOHO,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000017,10-06-2024 11:56,EU,EUR,Consumer,Affiliate,35-44,Netherlands,52.1326,5.2913
CUST0000018,02-08-2024 15:08,EU,EUR,SOHO,Organic,25-34,France,46.2276,2.2137
CUST0000019,22-02-2024 07:56,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000020,03-04-2025 00:51,,USD,SOHO,Organic,25-34,United States,39.8283,-98.5795
CUST0000021,08-02-2024 17:06,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000022,09-05-2025 14:46,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000023,24-01-2025 13:23,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000024,27-07-2025 03:14,EU,EUR,Consumer,Organic,25-34,Spain,40.4637,-3.7492
CUST0000025,06-02-2025 23:26,EU,GBP,Enterprise,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000026,01-01-2025 05:27,,USD,SMB,Organic,25-34,United States,39.8283,-98.5795
CUST0000027,23-04-2024 05:57,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000028,29-03-2025 22:13,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000029,17-12-2024 06:26,EU,EUR,SMB,Organic,25-34,France,46.2276,2.2137
CUST0000030,15-05-2025 14:00,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000031,04-01-2025 17:11,,USD,SOHO,Organic,25-34,United States,39.8283,-98.5795
CUST0000032,11-05-2025 01:34,,USD,SMB,Social,18-24,Canada,56.1304,-106.3468
CUST0000033,30-03-2025 19:58,EU,EUR,SMB,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000034,03-05-2024 04:14,EU,GBP,Consumer,Email,55+,United Kingdom,55.3781,-3.436
CUST0000035,04-04-2025 02:57,EU,EUR,Consumer,Organic,45-54,Spain,40.4637,-3.7492
CUST0000036,25-06-2025 13:49,EU,GBP,Consumer,Paid Search,18-24,United Kingdom,55.3781,-3.436
CUST0000037,05-09-2024 19:49,APAC,AUD,SOHO,Organic,25-34,Australia,-25.2744,133.7751
CUST0000038,13-12-2024 07:37,EU,GBP,Consumer,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000039,26-05-2024 09:30,EU,GBP,Consumer,Social,25-34,United Kingdom,55.3781,-3.436
CUST0000040,14-07-2024 03:51,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000041,23-03-2025 22:33,EU,EUR,Consumer,Affiliate,35-44,Germany,51.1657,10.4515
CUST0000042,28-08-2025 03:53,,USD,SOHO,Affiliate,55+,United States,39.8283,-98.5795
CUST0000043,05-01-2025 22:30,EU,GBP,Consumer,Email,45-54,United Kingdom,55.3781,-3.436
CUST0000044,29-01-2024 02:33,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000045,23-02-2025 04:24,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000046,06-05-2024 20:10,,USD,SMB,Organic,25-34,Canada,56.1304,-106.3468
CUST0000047,19-07-2025 23:28,EU,EUR,Consumer,Paid Search,18-24,France,46.2276,2.2137
CUST0000048,21-08-2024 17:24,,USD,SOHO,Email,25-34,United States,39.8283,-98.5795
CUST0000049,09-02-2024 04:22,EU,EUR,SMB,Paid Search,25-34,Netherlands,52.1326,5.2913
CUST0000050,26-07-2025 18:41,EU,EUR,Consumer,Affiliate,18-24,Spain,40.4637,-3.7492
CUST0000051,01-06-2025 19:22,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000052,19-01-2025 16:42,,USD,SMB,Social,45-54,United States,39.8283,-98.5795
CUST0000053,17-01-2024 23:08,EU,EUR,Consumer,Organic,18-24,France,46.2276,2.2137
CUST0000054,13-07-2024 23:16,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000055,26-08-2025 16:08,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000056,26-11-2024 14:19,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000057,11-05-2024 20:32,,USD,SOHO,Retail Media,25-34,Canada,56.1304,-106.3468
CUST0000058,20-07-2025 03:02,EU,GBP,SMB,Paid Search,55+,United Kingdom,55.3781,-3.436
