Column,Description
customer_id,Unique ID for each customer.
signup_date,When the customer signed up.
region,State/province/region.
currency_preference,Preferred currency if the customer chose one.
segment,"Customer segment (e.g., Student, SMB, Enterprise)."
acquisition_channel,How the customer first found or was acquired by the business.
age_band,"Age group (e.g., 18–24)."
currency,Currency used for pricing on events.
country,Customer’s country.
country_latitude,Customer’s country centroid latitude coordinates
country_longitude,Customer’s country centroid longitude coordinates
,
product_id,Unique ID for each product/plan.
product_name,Product/plan name.
category,"Product category (e.g., Analytics, Collaboration)."
is_subscription,Subscription vs one-time item.
billing_cycle,"Monthly, Annual, or One-time."
base_price_usd,List price in USD before discounts/taxes.
first_release_date,Approximate “first availability” of the product family/plan.
,
event_id,Unique ID for each transaction-like record.
event_type,order (new sale) or invoice (renewal/billing).
event_date,Timestamp when the event occurred.
customer_id,Customer on the event.
product_id,Product/plan on the event.
country / region,Customer location on the event.
channel,"Sales channel (Website, Direct Sales, etc.)."
payment_method,"Payment type (Credit Card, Invoice, etc.)."
currency,Currency used for this event.
fx_rate_to_usd,Conversion rate used for USD amounts.
quantity,Number of seats/units.
unit_price_local,Unit list price in local currency.
discount_code,Code applied to the event.
discount_local,Discount amount in local currency.
tax_local,Tax/VAT in local currency.
net_revenue_local,Net amount in local currency.
net_revenue_usd,Net amount converted to USD.
is_refunded,True/False if refunded.
refund_datetime,When refund happened.
refund_reason,Reason for refund.
